air_temperature,process_temperature,rotational_speed,torque,tool_wear,machine_power,temp_diff,overstrain,machine_failure
299.0,308.6,1587,38.6,124,61258.2,9.6,4786.4,0
298.9,308.5,1559,34.3,126,53473.7,9.6,4321.8,0
298.8,308.4,1473,41.1,128,60540.3,9.6,5260.8,0
298.8,308.4,1737,27.7,130,48114.9,9.6,3601.0,0
298.7,308.4,1441,43.2,132,62251.2,9.7,5702.4,0
298.7,308.4,1430,49.6,135,70928.0,9.7,6696.0,0
298.8,308.4,1369,53.0,138,72557.0,9.6,7314.0,0
298.8,308.5,1711,28.5,140,48763.5,9.7,3990.0,0
298.7,308.5,1420,45.7,143,64894.0,9.8,6535.1,0
298.7,308.6,1297,55.3,148,71724.1,9.9,8184.4,0
298.8,308.6,1449,49.4,150,71580.6,9.8,7410.0,0
298.8,308.6,1268,55.8,155,70754.4,9.8,8649.0,0
298.8,308.6,1511,36.1,157,54547.1,9.8,5667.7,0
298.7,308.5,1544,35.2,159,54348.8,9.8,5596.8,0
298.6,308.4,1778,28.2,161,50139.6,9.8,4540.2,0
298.6,308.4,1407,50.5,164,71053.5,9.8,8282.0,0
298.6,308.4,1391,42.4,169,58978.4,9.8,7165.6,0
298.5,308.4,1513,33.6,172,50836.8,9.9,5779.2,0
298.5,308.4,1612,36.1,174,58193.2,9.9,6281.4,0
298.4,308.4,1515,40.1,179,60751.5,10.0,7177.9,0
298.3,308.3,1379,48.0,181,66192.0,10.0,8688.0,0
298.4,308.3,1473,39.9,184,58772.7,9.9,7341.6,0
298.4,308.3,1422,42.7,186,60719.4,9.9,7942.2,0
298.4,308.2,1463,37.6,188,55008.8,9.8,7068.8,0
298.4,308.2,1584,41.0,191,64944.0,9.8,7831.0,0
298.4,308.2,1850,27.0,194,49950.0,9.8,5238.0,0
298.4,308.2,1528,36.2,196,55313.6,9.8,7095.2,0
298.4,308.2,1987,19.8,198,39342.6,9.8,3920.4,0
298.4,308.1,1495,46.0,203,68770.0,9.7,9338.0,0
298.4,308.2,1478,43.5,206,64293.0,9.8,8961.0,0
298.4,308.2,1499,40.0,211,59960.0,9.8,8440.0,0
298.4,308.2,1471,47.0,214,69137.0,9.8,10058.0,0
298.4,308.2,1282,60.7,216,77817.4,9.8,13111.2,1
298.3,308.1,1412,52.3,218,73847.6,9.8,11401.4,1
298.3,308.1,1586,35.5,0,56303.0,9.8,0.0,0
298.4,308.2,1468,43.8,2,64298.4,9.8,87.6,0
298.5,308.3,1440,43.6,5,62784.0,9.8,218.0,0
298.5,308.4,1733,26.0,8,45058.0,9.9,208.0,0
298.4,308.2,1612,32.6,10,52551.2,9.8,326.0,0
298.4,308.3,1458,42.9,15,62548.2,9.9,643.5,0
298.4,308.3,1433,62.3,20,89275.9,9.9,1246.0,1
298.4,308.3,1318,59.1,22,77893.8,9.9,1300.2,0
298.4,308.2,1610,35.0,24,56350.0,9.8,840.0,0
298.2,308.1,1462,50.8,27,74269.6,9.9,1371.6,0
298.1,308.0,1924,20.8,29,40019.2,9.9,603.2,0
298.2,308.0,1591,33.7,32,53616.7,9.8,1078.4,0
298.2,308.1,1306,58.3,35,76139.8,9.9,2040.5,0
298.2,308.1,1382,43.5,37,60117.0,9.9,1609.5,0
298.2,308.1,1618,34.7,39,56144.6,9.9,1353.3,0
298.2,308.2,1988,21.4,41,42543.2,10.0,877.4,0
298.2,308.2,1436,50.2,43,72087.2,10.0,2158.6,0
298.2,308.3,1304,49.8,45,64939.2,10.1,2241.0,0
298.2,308.3,1475,49.9,47,73602.5,10.1,2345.3,0
298.2,308.3,1824,24.2,49,44140.8,10.1,1185.8,0
298.1,308.2,1342,48.1,54,64550.2,10.1,2597.4,0
298.1,308.2,1485,40.7,57,60439.5,10.1,2319.9,0
298.2,308.2,1667,30.6,59,51010.2,10.0,1805.4,0
298.2,308.2,1446,38.2,61,55237.2,10.0,2330.2,0
298.1,308.3,1301,56.0,63,72856.0,10.2,3528.0,0
298.2,308.4,1379,43.1,65,59434.9,10.2,2801.5,0
298.3,308.5,1606,33.6,67,53961.6,10.2,2251.2,0
298.3,308.4,1539,43.4,69,66792.6,10.1,2994.6,0
298.2,308.4,1477,49.9,72,73702.3,10.2,3592.8,0
298.2,308.4,1666,34.6,74,57643.6,10.2,2560.4,0
298.2,308.4,1398,51.8,76,72416.4,10.2,3936.8,0
298.2,308.4,1678,34.6,81,58058.8,10.2,2802.6,0
298.2,308.5,2678,10.7,86,28654.6,10.3,920.2,1
298.3,308.5,1453,42.9,89,62333.7,10.2,3818.1,0
298.3,308.6,1432,49.5,91,70884.0,10.3,4504.5,0
298.4,308.6,1527,40.9,96,62454.3,10.2,3926.4,0
298.4,308.7,1588,35.0,99,55580.0,10.3,3465.0,0
298.4,308.6,1433,47.1,101,67494.3,10.2,4757.1,0
298.4,308.6,1609,35.0,103,56315.0,10.2,3605.0,0
298.3,308.5,1575,41.2,105,64890.0,10.2,4326.0,0
298.4,308.5,1636,35.7,107,58405.2,10.1,3819.9,0
298.4,308.5,1490,37.9,110,56471.0,10.1,4169.0,0
298.4,308.5,1741,32.8,112,57104.8,10.1,3673.6,0
298.5,308.6,1344,53.0,114,71232.0,10.1,6042.0,0
298.5,308.7,1609,35.3,117,56797.7,10.2,4130.1,0
298.4,308.7,1421,60.7,119,86254.7,10.3,7223.3,1
298.4,308.6,1591,36.7,122,58389.7,10.2,4477.4,0
298.4,308.6,1477,44.0,124,64988.0,10.2,5456.0,0
298.4,308.7,1523,36.1,126,54980.3,10.3,4548.6,0
298.5,308.7,1575,33.9,128,53392.5,10.2,4339.2,0
298.4,308.7,1344,52.9,130,71097.6,10.3,6877.0,0
298.4,308.7,1386,44.9,135,62231.4,10.3,6061.5,0
298.3,308.6,1589,37.1,137,58951.9,10.3,5082.7,0
298.3,308.6,1548,40.3,140,62384.4,10.3,5642.0,0
298.3,308.6,1499,38.3,142,57411.7,10.3,5438.6,0
298.3,308.5,1664,31.6,144,52582.4,10.2,4550.4,0
298.3,308.6,1447,38.1,146,55130.7,10.3,5562.6,0
298.3,308.5,1434,46.2,148,66250.8,10.2,6837.6,0
298.3,308.5,1416,52.7,151,74623.2,10.2,7957.7,0
298.4,308.5,1827,24.3,153,44396.1,10.1,3717.9,0
298.4,308.6,1304,45.0,158,58680.0,10.2,7110.0,0
298.4,308.6,1569,34.4,160,53973.6,10.2,5504.0,0
298.3,308.6,1584,29.3,162,46411.2,10.3,4746.6,0
298.3,308.5,1362,53.8,164,73275.6,10.2,8823.2,0
298.3,308.4,1329,49.2,166,65386.8,10.1,8167.2,0
298.3,308.5,1539,36.1,168,55557.9,10.2,6064.8,0
298.3,308.5,1629,37.1,170,60435.9,10.2,6307.0,0
298.3,308.5,1538,32.2,173,49523.6,10.2,5570.6,0
298.3,308.6,1570,34.8,175,54636.0,10.3,6090.0,0
298.3,308.4,1408,43.1,177,60684.8,10.1,7628.7,0
298.2,308.4,1424,47.6,179,67782.4,10.2,8520.4,0
298.2,308.4,1512,34.9,181,52768.8,10.2,6316.9,0
298.2,308.4,1478,42.9,183,63406.2,10.2,7850.7,0
298.1,308.3,1680,33.7,185,56616.0,10.2,6234.5,0
298.1,308.3,1495,38.7,188,57856.5,10.2,7275.6,0
298.0,308.1,1552,36.6,190,56803.2,10.1,6954.0,0
297.9,308.1,1393,50.3,193,70067.9,10.2,9707.9,0
298.0,308.2,1611,30.6,195,49296.6,10.2,5967.0,0
298.0,308.1,1339,51.6,197,69092.4,10.1,10165.2,0
298.0,308.1,1777,24.3,200,43181.1,10.1,4860.0,0
298.0,308.2,1348,58.8,202,79262.4,10.2,11877.6,1
298.0,308.2,1442,44.1,204,63592.2,10.2,8996.4,0
298.0,308.2,1395,49.1,206,68494.5,10.2,10114.6,0
297.9,308.1,1627,31.4,209,51087.8,10.2,6562.6,0
297.9,308.1,1585,33.5,212,53097.5,10.2,7102.0,0
298.0,308.2,1469,45.5,214,66839.5,10.2,9737.0,0
298.0,308.3,1362,56.8,216,77361.6,10.3,12268.8,1
298.0,308.3,1405,56.2,218,78961.0,10.3,12251.6,1
298.0,308.3,1662,32.7,0,54347.4,10.3,0.0,0
298.0,308.2,1466,42.6,2,62451.6,10.2,85.2,0
298.0,308.2,1620,35.8,5,57996.0,10.2,179.0,0
298.0,308.2,1357,48.2,7,65407.4,10.2,337.4,0
298.0,308.2,1514,37.9,9,57380.6,10.2,341.1,0
298.0,308.2,1489,40.4,11,60155.6,10.2,444.4,0
298.1,308.3,1331,63.0,13,83853.0,10.2,819.0,0
298.0,308.0,1615,29.5,15,47642.5,10.0,442.5,0
298.1,308.2,1482,37.9,17,56167.8,10.1,644.3,0
298.1,308.2,1420,63.9,19,90738.0,10.1,1214.1,1
298.2,308.3,1522,49.1,22,74730.2,10.1,1080.2,0
298.1,308.2,1654,32.1,25,53093.4,10.1,802.5,0
298.1,308.2,1736,26.8,27,46524.8,10.1,723.6,0
298.0,308.1,1587,32.3,30,51260.1,10.1,969.0,0
298.1,308.2,1390,47.5,33,66025.0,10.1,1567.5,0
298.0,308.1,1454,37.1,35,53943.4,10.1,1298.5,0
298.0,308.1,1440,43.7,37,62928.0,10.1,1616.9,0
297.9,308.0,1954,21.1,42,41229.4,10.1,886.2,0
297.9,308.0,1800,24.8,44,44640.0,10.1,1091.2,0
298.0,308.0,1524,37.0,49,56388.0,10.0,1813.0,0
298.0,308.0,1520,39.6,51,60192.0,10.0,2019.6,0
298.1,308.1,1452,40.8,56,59241.6,10.0,2284.8,0
298.1,308.1,1484,40.4,59,59953.6,10.0,2383.6,0
298.1,308.0,1426,46.0,61,65596.0,9.9,2806.0,0
298.1,308.0,1652,28.5,63,47082.0,9.9,1795.5,0
298.0,308.0,1401,54.7,65,76634.7,10.0,3555.5,0
298.0,307.9,1750,26.6,67,46550.0,9.9,1782.2,0
298.0,308.0,1479,50.7,70,74985.3,10.0,3549.0,0
298.0,308.0,1620,29.4,75,47628.0,10.0,2205.0,0
298.0,308.1,1819,23.4,78,42564.6,10.1,1825.2,0
298.1,308.1,1456,43.7,80,63627.2,10.0,3496.0,0
298.1,308.0,1626,36.5,83,59349.0,9.9,3029.5,0
298.1,308.1,1390,49.8,85,69222.0,10.0,4233.0,0
298.2,308.2,1469,43.0,88,63167.0,10.0,3784.0,0
298.2,308.3,2051,19.2,90,39379.2,10.1,1728.0,0
298.2,308.3,1568,36.0,92,56448.0,10.1,3312.0,0
298.2,308.3,1589,33.2,94,52754.8,10.1,3120.8,0
298.2,308.3,1805,31.6,96,57038.0,10.1,3033.6,0
298.2,308.4,1385,42.2,98,58447.0,10.2,4135.6,0
298.1,308.4,1436,46.7,103,67061.2,10.3,4810.1,0
298.1,308.4,1438,45.6,105,65572.8,10.3,4788.0,0
298.0,308.3,1473,42.6,107,62749.8,10.3,4558.2,0
298.1,308.4,1335,40.2,109,53667.0,10.3,4381.8,0
298.1,308.5,1392,44.8,111,62361.6,10.4,4972.8,0
298.1,308.5,1372,51.1,116,70109.2,10.4,5927.6,0
298.1,308.6,1716,30.7,119,52681.2,10.5,3653.3,0
298.0,308.5,1395,46.2,122,64449.0,10.5,5636.4,0
298.0,308.5,1713,25.3,124,43338.9,10.5,3137.2,0
297.9,308.5,2129,18.7,126,39812.3,10.6,2356.2,0
297.8,308.3,1567,35.6,131,55785.2,10.5,4663.6,0
297.8,308.4,1622,38.3,134,62122.6,10.6,5132.2,0
297.7,308.4,1740,27.1,136,47154.0,10.7,3685.6,0
297.8,308.4,1512,35.1,138,53071.2,10.6,4843.8,0
297.8,308.4,1479,43.5,143,64336.5,10.6,6220.5,0
297.8,308.4,1737,27.5,146,47767.5,10.6,4015.0,0
297.8,308.4,2129,19.2,148,40876.8,10.6,2841.6,0
297.8,308.4,1374,47.1,150,64715.4,10.6,7065.0,0
297.8,308.4,1579,36.6,152,57791.4,10.6,5563.2,0
297.9,308.5,1305,47.2,155,61596.0,10.6,7316.0,0
297.9,308.5,1449,40.8,157,59119.2,10.6,6405.6,0
298.0,308.6,1526,41.8,160,63786.8,10.6,6688.0,0
298.0,308.6,1453,44.1,165,64077.3,10.6,7276.5,0
297.9,308.6,1468,36.0,168,52848.0,10.7,6048.0,0
298.0,308.6,1313,50.8,170,66700.4,10.6,8636.0,0
297.9,308.5,1300,53.0,172,68900.0,10.6,9116.0,0
297.9,308.4,1646,40.6,175,66827.6,10.5,7105.0,0
297.8,308.4,1714,33.2,177,56904.8,10.6,5876.4,0
297.8,308.4,1685,28.4,179,47854.0,10.6,5083.6,0
297.8,308.4,1512,39.9,181,60328.8,10.6,7221.9,0
297.8,308.4,1612,32.1,183,51745.2,10.6,5874.3,0
297.8,308.4,1550,38.2,185,59210.0,10.6,7067.0,0
297.8,308.4,1518,32.5,190,49335.0,10.6,6175.0,0
297.8,308.5,1448,40.0,192,57920.0,10.7,7680.0,0
297.8,308.5,1561,46.3,194,72274.3,10.7,8982.2,0
297.8,308.5,1488,41.9,196,62347.2,10.7,8212.4,0
297.8,308.5,1699,27.8,199,47232.2,10.7,5532.2,0
297.7,308.5,1501,41.4,201,62141.4,10.8,8321.4,0
297.7,308.5,1373,56.7,203,77849.1,10.8,11510.1,1
297.6,308.4,1703,31.4,205,53474.2,10.8,6437.0,0
297.7,308.5,1720,29.9,210,51428.0,10.8,6279.0,0
297.6,308.4,1398,41.9,215,58576.2,10.8,9008.5,0
297.6,308.4,1391,51.9,218,72192.9,10.8,11314.2,0
297.6,308.3,1538,40.2,0,61827.6,10.7,0.0,0
297.5,308.2,1647,31.3,3,51551.1,10.7,93.9,0
297.5,308.1,1469,44.8,5,65811.2,10.6,224.0,0
297.4,308.1,1749,25.9,8,45299.1,10.7,207.2,0
297.6,308.2,1995,20.5,10,40897.5,10.6,205.0,0
297.6,308.3,1742,27.7,13,48253.4,10.7,360.1,0
297.5,308.2,1563,38.2,15,59706.6,10.7,573.0,0
297.5,308.2,1713,32.2,17,55158.6,10.7,547.4,0
297.4,308.1,1474,39.4,20,58075.6,10.7,788.0,0
297.4,308.2,1530,32.6,22,49878.0,10.8,717.2,0
297.4,308.2,1471,46.5,25,68401.5,10.8,1162.5,0
297.5,308.3,1388,48.6,27,67456.8,10.8,1312.2,0
297.5,308.2,2448,13.8,29,33782.4,10.7,400.2,0
297.5,308.3,1585,32.9,32,52146.5,10.8,1052.8,0
297.5,308.3,1459,45.2,34,65946.8,10.8,1536.8,0
297.5,308.3,1544,40.8,37,62995.2,10.8,1509.6,0
297.6,308.3,1617,31.7,39,51258.9,10.7,1236.3,0
297.6,308.3,1595,34.3,41,54708.5,10.7,1406.3,0
297.6,308.3,1400,44.3,43,62020.0,10.7,1904.9,0
297.6,308.4,1611,31.0,48,49941.0,10.8,1488.0,0
297.6,308.4,1507,46.0,51,69322.0,10.8,2346.0,0
297.5,308.3,1674,30.0,54,50220.0,10.8,1620.0,0
297.6,308.3,1658,34.3,59,56869.4,10.7,2023.7,0
297.6,308.3,1623,36.9,61,59888.7,10.7,2250.9,0
297.6,308.4,1398,48.9,63,68362.2,10.8,3080.7,0
297.6,308.4,1517,34.2,66,51881.4,10.8,2257.2,0
297.6,308.3,1467,36.7,68,53838.9,10.7,2495.6,0
297.6,308.3,1567,34.6,71,54218.2,10.7,2456.6,0
297.5,308.3,1521,38.2,74,58102.2,10.8,2826.8,0
297.5,308.3,1596,36.8,77,58732.8,10.8,2833.6,0
297.6,308.3,1640,30.9,79,50676.0,10.7,2441.1,0
297.6,308.3,1438,47.8,84,68736.4,10.7,4015.2,0
297.6,308.4,1407,55.2,86,77666.4,10.8,4747.2,0
297.6,308.4,1353,57.5,88,77797.5,10.8,5060.0,0
297.6,308.5,1552,40.9,90,63476.8,10.9,3681.0,0
297.6,308.4,1569,38.3,93,60092.7,10.8,3561.9,0
297.5,308.4,1489,39.5,96,58815.5,10.9,3792.0,0
297.5,308.4,1587,36.1,98,57290.7,10.9,3537.8,0
297.5,308.3,1622,37.2,103,60338.4,10.8,3831.6,0
297.5,308.4,1604,38.1,106,61112.4,10.9,4038.6,0
297.4,308.3,1405,51.7,108,72638.5,10.9,5583.6,0
297.4,308.3,1412,42.0,111,59304.0,10.9,4662.0,0
297.4,308.3,1431,43.0,113,61533.0,10.9,4859.0,0
297.4,308.2,1533,37.4,115,57334.2,10.8,4301.0,0
297.4,308.2,1401,51.9,117,72711.9,10.8,6072.3,0
297.4,308.2,1424,53.9,120,76753.6,10.8,6468.0,0
297.3,308.2,1754,29.4,123,51567.6,10.9,3616.2,0
297.3,308.2,1754,26.8,125,47007.2,10.9,3350.0,0
297.5,308.3,2564,12.8,127,32819.2,10.8,1625.6,1
297.5,308.5,1546,40.4,129,62458.4,11.0,5211.6,0
297.5,308.5,1335,48.0,131,64080.0,11.0,6288.0,0
297.5,308.6,1842,27.0,133,49734.0,11.1,3591.0,0
297.5,308.5,1712,26.8,136,45881.6,11.0,3644.8,0
297.6,308.6,1414,45.4,138,64195.6,11.0,6265.2,0
297.6,308.7,1319,50.9,141,67137.1,11.1,7176.9,0
297.7,308.7,1249,60.4,143,75439.6,11.0,8637.2,0
297.6,308.7,1455,48.2,145,70131.0,11.1,6989.0,0
297.6,308.7,1408,54.8,147,77158.4,11.1,8055.6,0
297.6,308.7,1460,46.7,150,68182.0,11.1,7005.0,0
297.6,308.6,1491,38.1,152,56807.1,11.0,5791.2,0
297.6,308.5,1490,43.4,154,64666.0,10.9,6683.6,0
297.5,308.4,1350,52.2,157,70470.0,10.9,8195.4,0
297.5,308.4,1528,39.9,160,60967.2,10.9,6384.0,0
297.4,308.3,1571,37.7,162,59226.7,10.9,6107.4,0
297.4,308.3,1490,42.6,164,63474.0,10.9,6986.4,0
297.4,308.3,1774,28.9,166,51268.6,10.9,4797.4,0
297.4,308.3,1502,43.6,169,65487.2,10.9,7368.4,0
297.4,308.4,1392,49.7,174,69182.4,11.0,8647.8,0
297.4,308.5,2100,16.9,176,35490.0,11.1,2974.4,0
297.5,308.5,1722,30.4,178,52348.8,11.0,5411.2,0
297.4,308.6,1678,32.3,180,54199.4,11.2,5814.0,0
297.3,308.6,1273,59.8,182,76125.4,11.3,10883.6,0
297.3,308.6,1297,45.9,184,59532.3,11.3,8445.6,0
297.3,308.5,1350,57.6,186,77760.0,11.2,10713.6,0
297.4,308.6,1439,51.9,188,74684.1,11.2,9757.2,0
297.4,308.5,1600,42.1,190,67360.0,11.1,7999.0,0
297.4,308.6,1434,44.4,193,63669.6,11.2,8569.2,0
297.4,308.6,1459,41.3,196,60256.7,11.2,8094.8,0
297.5,308.6,1472,44.9,198,66092.8,11.1,8890.2,0
297.5,308.7,1429,44.3,201,63304.7,11.2,8904.3,0
297.5,308.6,1388,48.2,203,66901.6,11.1,9784.6,0
297.4,308.4,1573,34.5,205,54268.5,11.0,7072.5,0
297.4,308.4,1588,32.5,207,51610.0,11.0,6727.5,0
297.5,308.4,1511,42.8,209,64670.8,10.9,8945.2,0
297.4,308.5,1495,37.8,211,56511.0,11.1,7975.8,0
297.4,308.4,1394,50.1,213,69839.4,11.0,10671.3,0
297.4,308.4,2151,17.7,0,38072.7,11.0,0.0,0
297.3,308.3,1501,38.2,2,57338.2,11.0,76.4,0
297.3,308.3,1301,39.6,5,51519.6,11.0,198.0,0
297.3,308.3,1657,31.1,8,51532.7,11.0,248.8,0
297.3,308.3,1333,55.2,11,73581.6,11.0,607.2,0
